rule,signals,return_pa,volatility_pa,max_drawdown,var95
inv18_and_vix12max_27.5,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv18_and_vix6max_27.5,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv18_and_vix12max_30,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv18_and_vix6max_30,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv24_and_vix12max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv24_and_vix6max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv24_and_vix3max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv24_and_vix12max_27.5,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv24_and_vix6max_27.5,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv24_and_vix12max_30,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv24_and_vix6max_30,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv6_only,3,0.041844917792592584,0.06804773515328595,-0.22023768846023706,-0.005925127445319804
inv6_and_vix12max_20,3,0.041844917792592584,0.06804773515328595,-0.22023768846023706,-0.005925127445319804
inv12_only,3,0.041844917792592584,0.06804773515328595,-0.22023768846023706,-0.005925127445319804
inv12_and_vix12max_20,3,0.041844917792592584,0.06804773515328595,-0.22023768846023706,-0.005925127445319804
inv18_only,4,0.04140866508124352,0.06795638200082034,-0.22023768846023706,-0.005925127445319804
inv18_and_vix12max_20,4,0.04140866508124352,0.06795638200082034,-0.22023768846023706,-0.005925127445319804
inv24_only,4,0.04140866508124352,0.06795638200082034,-0.22023768846023706,-0.005925127445319804
inv24_and_vix12max_20,4,0.04140866508124352,0.06795638200082034,-0.22023768846023706,-0.005925127445319804
inv6_or_vix6max_30,5,0.03265202803447309,0.06662289803881842,-0.23180446277984845,-0.005838674951107065
inv12_or_vix6max_30,5,0.03265202803447309,0.06662289803881842,-0.23180446277984845,-0.005838674951107065
inv18_or_vix6max_30,6,0.03221962467057837,0.06652936124404649,-0.23180446277984845,-0.005838674951107065
inv24_or_vix6max_30,6,0.03221962467057837,0.06652936124404649,-0.23180446277984845,-0.005838674951107065
inv6_or_vix6max_27.5,6,0.032129404634552605,0.06621313827780712,-0.23180446277984867,-0.005812828981592296
inv12_or_vix6max_27.5,6,0.032129404634552605,0.06621313827780712,-0.23180446277984867,-0.005812828981592296
inv18_or_vix6max_27.5,7,0.031697220109250246,0.06611900819563254,-0.23180446277984867,-0.005812828981592296
inv24_or_vix6max_27.5,7,0.031697220109250246,0.06611900819563254,-0.23180446277984867,-0.005812828981592296
