feature_config_id,window_profile,families,feature_count,feature_columns
long__market_core__defensive_relative,long,"market_core,defensive_relative",6,"avg_corr_12m,equity_drawdown_12m,gold_rel_mom_12m,jpy_rel_mom_12m,spx_mom_6m,spx_vol_12m"
long__market_core__macro_spot,long,"market_core,macro_spot",8,"avg_corr_12m,baa10y,equity_drawdown_12m,spx_mom_6m,spx_vol_12m,t10y2y,vix_change_6m,vixcls"
long__market_core__macro_memory,long,"market_core,macro_memory",7,"avg_corr_12m,baa_widen_18m,equity_drawdown_12m,inv_18m_any,spx_mom_6m,spx_vol_12m,vix_18m_max"
long__market_core__crypto,long,"market_core,crypto",6,"avg_corr_12m,bitcoin_available,bitcoin_mom_6m,equity_drawdown_12m,spx_mom_6m,spx_vol_12m"
long__defensive_relative__macro_spot,long,"defensive_relative,macro_spot",6,"baa10y,gold_rel_mom_12m,jpy_rel_mom_12m,t10y2y,vix_change_6m,vixcls"
long__defensive_relative__macro_memory,long,"defensive_relative,macro_memory",5,"baa_widen_18m,gold_rel_mom_12m,inv_18m_any,jpy_rel_mom_12m,vix_18m_max"
long__defensive_relative__crypto,long,"defensive_relative,crypto",4,"bitcoin_available,bitcoin_mom_6m,gold_rel_mom_12m,jpy_rel_mom_12m"
long__macro_spot__macro_memory,long,"macro_spot,macro_memory",7,"baa10y,baa_widen_18m,inv_18m_any,t10y2y,vix_18m_max,vix_change_6m,vixcls"
long__macro_spot__crypto,long,"macro_spot,crypto",6,"baa10y,bitcoin_available,bitcoin_mom_6m,t10y2y,vix_change_6m,vixcls"
long__macro_memory__crypto,long,"macro_memory,crypto",5,"baa_widen_18m,bitcoin_available,bitcoin_mom_6m,inv_18m_any,vix_18m_max"
long__market_core__defensive_relative__macro_spot,long,"market_core,defensive_relative,macro_spot",10,"avg_corr_12m,baa10y,equity_drawdown_12m,gold_rel_mom_12m,jpy_rel_mom_12m,spx_mom_6m,spx_vol_12m,t10y2y,vix_change_6m,vixcls"
long__market_core__defensive_relative__macro_memory,long,"market_core,defensive_relative,macro_memory",9,"avg_corr_12m,baa_widen_18m,equity_drawdown_12m,gold_rel_mom_12m,inv_18m_any,jpy_rel_mom_12m,spx_mom_6m,spx_vol_12m,vix_18m_max"
long__market_core__defensive_relative__crypto,long,"market_core,defensive_relative,crypto",8,"avg_corr_12m,bitcoin_available,bitcoin_mom_6m,equity_drawdown_12m,gold_rel_mom_12m,jpy_rel_mom_12m,spx_mom_6m,spx_vol_12m"
long__market_core__macro_spot__macro_memory,long,"market_core,macro_spot,macro_memory",11,"avg_corr_12m,baa10y,baa_widen_18m,equity_drawdown_12m,inv_18m_any,spx_mom_6m,spx_vol_12m,t10y2y,vix_18m_max,vix_change_6m,vixcls"
