decision_date,spx_mom_1m,bitcoin_mom_1m,spx_mom_3m,bitcoin_mom_3m,spx_mom_6m,bitcoin_mom_6m,spx_vol_1m,spx_vol_3m,spx_vol_6m,spx_vol_12m,gold_rel_mom_3m,jpy_rel_mom_3m,equity_drawdown_3m,avg_corr_3m,gold_rel_mom_6m,jpy_rel_mom_6m,equity_drawdown_6m,avg_corr_6m,gold_rel_mom_12m,jpy_rel_mom_12m,equity_drawdown_12m,avg_corr_12m,vixcls,t10y2y,baa10y,vix_change_1m,vix_change_3m,vix_change_6m,inv_6m_any,vix_6m_max,baa_widen_6m,inv_12m_any,vix_12m_max,baa_widen_12m,inv_18m_any,vix_18m_max,baa_widen_18m,bitcoin_available
2022-01-31,-0.03266691999362592,-0.07887669362373839,-0.027906604337195162,-0.3408798034325905,0.020919870588958167,-0.0999637295908703,0.17002682048952245,0.1514192928806965,0.1295939587902688,0.10737965084144854,0.03495019954060208,0.014180603120967139,-0.057757842714874275,0.10032824377295747,0.00594053074577694,-0.05662484843623472,-0.057757842714874275,0.12430482581207433,-0.13032785304921157,-0.14100247311371084,-0.057757842714874275,0.12883328821315757,24.83,0.61,1.93,-0.1023138105567607,-0.1023138105567607,-0.20314505776636715,0.0,31.96,0.1499999999999999,0.0,31.96,-0.07000000000000006,0.0,37.21,-0.19999999999999996,1.0
2022-02-28,-0.023333375860103867,-0.05550689420377164,-0.08481051877577162,-0.18306128172491765,-0.0372689554275365,-0.33399616657798337,0.1905704703090631,0.1607050979288144,0.14491195210772725,0.12124778811486352,0.1382614301342281,0.08368008399316307,-0.08597062209402395,0.16424137603153577,0.09328395766791542,0.026051564123188542,-0.08597062209402395,0.11197446225971276,0.025349339105019464,-0.0862807956669348,-0.08597062209402395,0.12990337171333258,30.15,0.39,2.34,0.09278724175425879,0.09278724175425879,0.04651162790697683,0.0,31.96,0.6099999999999999,0.0,31.96,0.45999999999999996,0.0,31.96,0.1499999999999999,1.0
2022-03-31,0.06441363438313452,0.16368263880325307,0.05017724398825418,0.26433446273994154,-0.03152598194681644,-0.2223691554604822,0.16915533103749028,0.19478530755633977,0.1725129772683752,0.1357750602882644,0.02771730545177964,-0.10219039107124517,-0.021680734397141355,0.07910860849278327,0.11459052061691188,-0.020569334404867967,-0.05203270314345387,0.06116342457602372,0.024678451945388424,-0.14254263642916687,-0.05203270314345387,0.11410327255225504,20.56,0.04,1.93,0.06363166063114334,0.04737646459500766,-0.012013455069677992,0.0,36.45,0.20999999999999996,0.0,36.45,-0.020000000000000018,0.0,36.45,-0.24,1.0
2022-04-30,-0.07892423510671653,-0.09689719860430834,-0.055517846185591746,-0.029027824706426508,-0.12157712392553754,-0.2481403414354112,0.23187956126378712,0.1978686638887344,0.18080667400257003,0.1510231984176689,0.05953512205970657,-0.05358007208734583,-0.10699176473004335,0.07833665842581032,0.16945422445253377,0.00345838838197543,-0.13469699246100408,0.100678678193792,0.1259966416833307,-0.092615420193636,-0.13469699246100408,0.11244628954624185,33.4,0.19,2.05,0.0,0.056962025316455556,0.183977313009571,1.0,36.45,0.18999999999999972,1.0,36.45,0.08999999999999986,1.0,36.45,0.07999999999999985,1.0
2022-05-31,0.03423470477908874,0.025400932813734345,-0.10535395231347422,-0.33057941391888945,-0.04616977928320953,-0.13098695316397735,0.23585350498976493,0.2278713417757988,0.21092877751285852,0.17260412187656202,0.06259125713834401,0.06035511808638161,-0.09977992002727742,0.17656432954148513,0.040396032245839764,-0.06877542939014092,-0.10535395231347422,0.1309663621887441,0.07688329264171956,-0.10961346893428658,-0.13310999252766798,0.12193451602366455,26.19,0.32,2.18,-0.013187641296156682,0.018273716951788588,-0.07684173422629537,1.0,36.45,0.27000000000000024,1.0,36.45,0.3500000000000001,1.0,36.45,0.15000000000000036,1.0
2022-06-30,-0.056923681351028876,-0.37896326887333254,-0.11414629929671893,-0.5304175784615762,-0.11237072990893215,-0.5123955647475787,0.2656443416441746,0.25538878399509113,0.22463284464456626,0.1873511875279284,0.06812766592027719,0.07826359962091578,-0.11683589477289547,0.28178760673923725,0.06162199967766868,-0.03639142747391477,-0.17920132257203292,0.19330621521659766,0.17286663063088548,-0.0009111593464903311,-0.20466627729615006,0.1685473634477949,28.71,0.06,2.31,0.01953125,0.06530612244897971,0.054351817847961836,1.0,36.45,0.06999999999999984,1.0,36.45,0.5700000000000001,1.0,36.45,0.47,1.0
2022-07-31,0.059843399089529514,0.13514650117032145,-0.004148591908363808,-0.18356574589841523,-0.0860453917340146,-0.48369696988097866,0.1836471833961925,0.20591358682912514,0.21764225680888757,0.19482885834729793,-0.04320483795159347,-0.04207336352046498,-0.008936132534469898,0.37168227922193003,-0.01217805831679497,0.0018554014886479342,-0.10352001314357318,0.2740937608247629,0.06851760242441018,-0.0329216071085664,-0.13133295059604544,0.1922270346420933,21.33,-0.22,2.36,0.0,-0.044782803403493054,-0.08690068493150693,1.0,34.75,0.3999999999999999,1.0,36.45,0.6299999999999999,1.0,36.45,0.42999999999999994,1.0
2022-08-31,-0.059341414758635525,-0.15512567695212787,0.038659410223845114,-5.3471302496665984e-05,-0.04890176036342986,-0.483552659336849,0.1737555267361496,0.16364927799300785,0.2171759747110505,0.1947370357328409,-0.09735349570408702,-0.05571467792678131,-0.08052925656602483,0.40392445676169403,-0.0439141030584459,-0.02687544170910916,-0.08052925656602483,0.32276194810404507,0.09748950645546484,-0.030054495422699112,-0.16675837105152924,0.23386060684709228,25.87,-0.3,2.18,-0.01297214803510105,0.012128325508607318,0.18778696051423327,1.0,34.75,0.13000000000000034,1.0,36.45,0.32000000000000006,1.0,36.45,0.2100000000000002,1.0
2022-09-30,-0.11765606975993903,-0.08803491030642752,-0.1291249258343774,-0.1889955469160326,-0.1327378311202566,-0.3238470668908312,0.20837612505845943,0.18011376760162331,0.19342593301559788,0.2023364270953338,0.06947963777249522,0.04987938210078624,-0.16521206385247045,0.4631403942056173,0.028563522163132515,0.01093321594822394,-0.16521206385247045,0.4077089827041218,0.08025610464968214,-0.03911278933475126,-0.21927792495841292,0.27167128704548527,31.62,-0.39,2.24,-0.006909547738693456,-0.030061349693251582,0.05681818181818188,1.0,34.02,-0.019999999999999574,1.0,36.45,0.40000000000000013,1.0,36.45,0.41000000000000014,1.0
2022-10-31,0.07243611993350374,0.06051909444317394,-0.03673187140328871,0.01131666643538387,-0.0017878354316916978,-0.023589562005201348,0.2162591081454609,0.21712760098768288,0.19290617898412346,0.2095550270123524,-0.02286780391577936,-0.030445857061508597,-0.056208135578427965,0.49725245261376805,-0.10205504796518683,-0.08731175437397032,-0.09762655813049592,0.44244797697675864,-0.04317481656612787,-0.12853751801853264,-0.15606966093689023,0.3044904767980444,25.88,-0.41,2.28,0.005048543689320395,0.005048543689320395,-0.09065354884047794,1.0,33.63,0.08999999999999986,1.0,36.45,0.1499999999999999,1.0,36.45,0.5599999999999998,1.0
