fold,config_key,model_family,model_label,threshold,logistic_threshold,xgb_threshold,validation_cagr,validation_volatility,validation_max_drawdown,validation_calmar,validation_trigger_rate,selection_score
4,BayesXGBoost|thr=0.4000,BayesXGBoost,Bayes-tuned XGBoost,0.4,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,SARIMAX|thr=-0.0025,SARIMAX,"SARIMAX(1,0,0)+macro",-0.0025,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,SARIMAX|thr=0.0000,SARIMAX,"SARIMAX(1,0,0)+macro",0.0,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,SARIMAX|thr=0.0025,SARIMAX,"SARIMAX(1,0,0)+macro",0.0025,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,SARIMAX|thr=0.0050,SARIMAX,"SARIMAX(1,0,0)+macro",0.005,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Ensemble|logit=0.40|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.4,0.25,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Ensemble|logit=0.40|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.4,0.3,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Ensemble|logit=0.40|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.4,0.35,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Ensemble|logit=0.45|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.45,0.25,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Ensemble|logit=0.45|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.45,0.3,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Ensemble|logit=0.45|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.45,0.35,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Ensemble|logit=0.50|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.5,0.25,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Ensemble|logit=0.50|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.5,0.3,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Ensemble|logit=0.50|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.5,0.35,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
